DATE,HIGH,LOW,CLOSE,NO. OF SHARES,NO. OF TRADES
27-09-2018,268.15,263.9,265,939783,8888
26-09-2018,273.85,262.35,264,5335956,10818
25-09-2018,272.2,261,270.25,1171589,12282
24-09-2018,273,263,264.55,2803506,13104
21-09-2018,279.35,253.6,270.05,3124345,21747
19-09-2018,278,270.6,271.4,1717341,14542
18-09-2018,286.9,272.55,274,1777022,16513
17-09-2018,289.5,284.1,285.6,1036473,8244
14-09-2018,291.45,288.85,290.4,915880,6195
12-09-2018,286.6,280.15,285.45,1125940,8491
11-09-2018,291.5,281.2,282.3,2335721,13504
10-09-2018,293.3,284,285,1653251,11467
07-09-2018,296.5,290,291.85,1316405,10063
06-09-2018,300,295.1,296.65,886328,6895
05-09-2018,298.9,290.6,296.75,1072809,10034
04-09-2018,307.7,295.7,296.6,1127481,9660
03-09-2018,312.2,304.3,306.4,1011813,6743
31-08-2018,310,304.75,308.85,1333008,7732
30-08-2018,310,306,308.15,934912,6176
29-08-2018,312,306,309.65,1538284,12104
28-08-2018,310.15,303.6,304.95,812586,8744
27-08-2018,310.3,303.25,308.25,1887982,11032
24-08-2018,305.85,299.1,300.3,1068084,10615
23-08-2018,307.9,298.35,302.25,953542,8264
21-08-2018,308.5,303.5,306.9,758375,9665
20-08-2018,308.5,303.7,307.55,1390276,10952
17-08-2018,302.65,294.2,302,1395035,10438
16-08-2018,298.25,290.5,292.7,1137255,8303
14-08-2018,299.1,293.75,294.7,1678183,7545
13-08-2018,302.55,291.8,294.8,2454485,16767
10-08-2018,325.85,301.1,304.45,6462515,47787
09-08-2018,319.2,310.1,316.45,2508521,18620
08-08-2018,310.55,303.15,308.65,1057985,7553
07-08-2018,310.5,303,304,1083375,7740
06-08-2018,310.9,300.5,308.55,2032631,17606
03-08-2018,299.15,294.05,298.6,3477241,15433
02-08-2018,296.2,290.6,294,884852,6790
01-08-2018,297.8,289,295.1,1758321,11832
31-07-2018,302.3,292.25,293.4,1877491,16866
30-07-2018,299.55,287.6,297.35,1962286,16316
27-07-2018,296.8,285,286.6,1939170,16195
26-07-2018,288.5,273.55,286.7,2153581,19093
25-07-2018,272.55,265.8,271.45,810369,6873
24-07-2018,269.25,265.7,266.7,583727,4494
23-07-2018,267.35,260.7,266.4,776987,4857
20-07-2018,262.9,258.65,260.95,677082,4543
19-07-2018,263.2,256,260.15,772866,5172
18-07-2018,262.65,256.05,259,882204,6345
17-07-2018,260,250.35,259.25,1077503,9258
16-07-2018,257.55,251.1,251.75,481573,6682
13-07-2018,263.05,256.1,257.6,3130061,4365
12-07-2018,264.35,261,262.75,526188,4095
11-07-2018,263.45,258,258.9,586328,5295
10-07-2018,265.6,262.1,263.5,545861,4252
09-07-2018,262.4,258,261.35,569398,4530
06-07-2018,260.9,255.7,257.45,652809,5145
05-07-2018,258.6,255.5,256.6,405184,3605
04-07-2018,258.35,254.65,257.5,764399,4157
03-07-2018,260.7,256.7,257.75,541935,4613
02-07-2018,261.6,254,259.1,882392,6138
29-06-2018,263.3,257.6,259.3,569762,5265
28-06-2018,261.95,255.85,256.85,740047,5380
27-06-2018,268,260.8,261.65,795485,5304
26-06-2018,271.1,265.45,267.15,978497,5618
25-06-2018,275,267.4,268.3,482283,4330
22-06-2018,273.9,265.8,273.25,775701,5330
21-06-2018,274.55,268.05,268.7,460574,3940
20-06-2018,274.75,271.55,273.25,911269,5603
19-06-2018,276.7,270.1,272.4,1145820,6043
18-06-2018,279.7,275.55,276.85,703222,4321
15-06-2018,283.4,276.5,277.55,703218,6063
14-06-2018,287.15,281.25,282.7,903754,8035
13-06-2018,289.35,284,287.65,1470080,12722
12-06-2018,284.6,273.65,282.85,1735577,10048
11-06-2018,278.25,272.55,273.65,918121,7238
08-06-2018,273.2,267.05,272.7,951380,7153
07-06-2018,272.7,268.4,269.25,1036913,7186
06-06-2018,270.8,262.15,269.9,1003521,6508
05-06-2018,265.05,261,263.5,797511,4668
04-06-2018,268.95,261.65,263.1,657500,4628
01-06-2018,269.7,264.6,266.75,746894,4966
31-05-2018,272.85,263.2,269.2,863012,6449
30-05-2018,268.05,260,266.9,1077579,6133
29-05-2018,271,263.45,264.9,821457,6560
28-05-2018,274,266.25,272.25,1176549,8638
25-05-2018,268.7,262.65,267,1140754,7171
24-05-2018,269.5,260.8,268.5,2078061,16030
23-05-2018,269.7,254.15,263.2,4757067,31908
22-05-2018,259.9,241.3,254.15,4489373,26973
21-05-2018,245.85,240.25,245.1,1389712,9252
18-05-2018,243.9,237.85,239.2,2252912,7320
17-05-2018,245.95,242,243.3,1866104,9610
16-05-2018,248.6,240.8,243.15,1533799,7951
15-05-2018,257.2,246,248.6,2175881,9614
14-05-2018,255.6,248.55,253.35,1425180,6914
11-05-2018,251.8,246.1,250.9,2267400,6196
10-05-2018,250.35,246.6,247.95,1122880,4944
09-05-2018,249.95,246.45,248.8,2068689,8870
