Date,Symbol,Series,PrevClose,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,DeliverableVolume,Deliverble
24-04-2008,KOTAKBANK,EQ,761.65,765,769.75,743.1,755,755.8,756.22,708611,5.35866E+13,,251540,0.355
25-04-2008,KOTAKBANK,EQ,755.8,770,770,737.15,759,760.4,753.48,811394,6.11369E+13,,282415,0.3481
28-04-2008,KOTAKBANK,EQ,760.4,760,786.2,756,781.35,783.45,778.97,862885,6.72164E+13,,332943,0.3858
29-04-2008,KOTAKBANK,EQ,783.45,772,825,770,790.9,790.85,797.83,1440127,1.14898E+14,,484853,0.3367
30-04-2008,KOTAKBANK,EQ,790.85,790.85,805,775,789.4,791.65,789.1,852455,6.72675E+13,,272020,0.3191
02-05-2008,KOTAKBANK,EQ,791.65,800,834.9,799,826.05,821.6,820.91,1512251,1.24141E+14,,776103,0.5132
05-05-2008,KOTAKBANK,EQ,821.6,836,887.9,822,870,868.5,865.47,2427198,2.10066E+14,,944598,0.3892
06-05-2008,KOTAKBANK,EQ,868.5,859.8,870,836.6,855.3,858.3,855.13,1190485,1.01803E+14,,503838,0.4232
07-05-2008,KOTAKBANK,EQ,858.3,840.05,857.9,825.75,837.15,836.4,836.52,661064,5.52991E+13,,148588,0.2248
08-05-2008,KOTAKBANK,EQ,836.4,835,835,778,782,783.35,797.23,1015024,8.09209E+13,,331949,0.327
09-05-2008,KOTAKBANK,EQ,783.35,782,799.9,726.15,728,738.55,763.19,2634327,2.01048E+14,,779890,0.296
12-05-2008,KOTAKBANK,EQ,738.55,725,754.7,711,740.5,743.3,740.48,1805589,1.337E+14,,794205,0.4399
13-05-2008,KOTAKBANK,EQ,743.3,755.2,776.85,736,736.9,744.55,760.01,1247509,9.48125E+13,,552784,0.4431
14-05-2008,KOTAKBANK,EQ,744.55,740,745,715.25,723,724.75,726.29,1049330,7.62119E+13,,371020,0.3536
15-05-2008,KOTAKBANK,EQ,724.75,730.55,760,730.55,758.05,755.4,747.4,1152186,8.6115E+13,,540912,0.4695
16-05-2008,KOTAKBANK,EQ,755.4,759,778.9,759,769.15,771.05,768.05,744353,5.71703E+13,,251874,0.3384
